Country,Population
Aruba,106585
Africa Eastern and Southern,685112705
Afghanistan,38972230
Africa Western and Central,466189102
Angola,33428486
Albania,2837849
Andorra,77700
Arab World,449228296
United Arab Emirates,9287289
Argentina,45376763
Armenia,2805608
American Samoa,46189
Antigua and Barbuda,92664
Australia,25655289
Austria,8916864
Azerbaijan,10093121
Burundi,12220227
Belgium,11538604
Benin,12643123
Burkina Faso,21522626
Bangladesh,167420951
Bulgaria,6934015
Bahrain,1477469
Bahamas,406471
Bosnia and Herzegovina,3318407
Belarus,9379952
Belize,394921
Bermuda,63893
Bolivia,11936162
Brazil,213196304
Barbados,280693
Brunei,441725
Bhutan,772506
Botswana,2546402
Central African Republic,5343020
Canada,38037204
Central Europe and the Baltics,102180124
Switzerland,8638167
Channel Islands,171113
Chile,19300315
China,1411100000
Cote d'Ivoire,26811790
Cameroon,26491087
"Congo, Dem. Rep.",92853164
"Congo, Rep.",5702174
Colombia,50930662
Comoros,806166
Cabo Verde,582640
Costa Rica,5123105
Caribbean small states,7444768
Cuba,11300698
Curacao,154947
Cayman Islands,67311
Cyprus,1237537
Czechia,10697858
Germany,83160871
Djibouti,1090156
Dominica,71995
Denmark,5831404
Dominican Republic,10999664
Algeria,43451666
East Asia & Pacific (excluding high income),2116424876
Early-demographic dividend,-2147483648
East Asia & Pacific,-2147483648
Europe & Central Asia (excluding high income),400811771
Europe & Central Asia,923103879
Ecuador,17588595
Egypt,107465134
Euro area,342913447
Eritrea,3555868
Spain,47365655
Estonia,1329522
Ethiopia,117190911
European Union,447692315
Fragile and conflict affected situations,979418527
Finland,5529543
Fiji,920422
France,67571107
Faroe Islands,52415
Micronesia,112106
Gabon,2292573
United Kingdom,67081000
Georgia,3722716
Ghana,32180401
Gibraltar,32709
Guinea,13205153
Gambia,2573995
Guinea-Bissau,2015828
Equatorial Guinea,1596049
Greece,10698599
Grenada,123663
Greenland,56367
Guatemala,16858333
Guam,169231
Guyana,797202
High income,1240900955
"Hong Kong SAR, China",7481000
Honduras,10121763
Heavily indebted poor countries (HIPC),838066650
Croatia,4047680
Haiti,11306801
Hungary,9750149
IBRD only,-2147483648
IDA & IBRD total,-2147483648
IDA total,1738306807
IDA blend,582637127
Indonesia,271857970
IDA only,1155669680
Isle of Man,84046
India,1396387127
Ireland,4985382
Iran,87290193
Iraq,42556984
Iceland,366463
Israel,9215100
Italy,59438851
Jamaica,2820436
Jordan,10928721
Japan,126261000
Kazakhstan,18755666
Kenya,51985780
Kyrgyzstan,6579900
Cambodia,16396860
Kiribati,126463
Saint Kitts and Nevis,47642
"Korea, South",51836239
Kuwait,4360444
Latin America & Caribbean (excluding high income),588808380
Laos,7319399
Lebanon,5662923
Liberia,5087584
Libya,6653942
Saint Lucia,179237
Latin America & Caribbean,650534967
Least developed countries: UN classification,1073743450
Low income,699186538
Liechtenstein,38756
Sri Lanka,21919000
Lower middle income,-2147483648
Low & middle income,-2147483648
Lesotho,2254100
Late-demographic dividend,-2147483648
Lithuania,2794885
Luxembourg,630419
Latvia,1900449
"Macao SAR, China",676283
St. Martin (French part),32553
Morocco,36688772
Monaco,36922
Moldova,2635130
Madagascar,28225177
Maldives,514438
Middle East & North Africa,479966649
Mexico,125998302
Marshall Islands,43413
Middle income,-2147483648
North Macedonia,2072531
Mali,21224040
Malta,515332
Burma,53423198
Middle East & North Africa (excluding high income),411810124
Montenegro,621306
Mongolia,3294335
Northern Mariana Islands,49587
Mozambique,31178239
Mauritania,4498604
Mauritius,1265740
Malawi,19377061
Malaysia,33199993
North America,369602177
Namibia,2489098
New Caledonia,271130
Niger,24333639
Nigeria,208327405
Nicaragua,6755895
Netherlands,17441500
Norway,5379475
Nepal,29348627
Nauru,12315
New Zealand,5090200
OECD members,1370241530
Oman,4543399
Other small states,32381190
Pakistan,227196741
Panama,4294396
Peru,33304756
Philippines,112190977
Palau,17972
Papua New Guinea,9749640
Poland,37899070
Pre-demographic dividend,984213438
Puerto Rico,3281538
"Korea, Dem. People's Rep.",25867467
Portugal,10297081
Paraguay,6618695
West Bank and Gaza,4803269
Pacific island small states,2566819
Post-demographic dividend,1117443485
French Polynesia,301920
Qatar,2760385
Romania,19265250
Russia,144073139
Rwanda,13146362
South Asia,1882531620
Saudi Arabia,35997107
Sudan,44440486
Senegal,16436120
Singapore,5685807
Solomon Islands,691191
Sierra Leone,8233970
El Salvador,6292731
San Marino,34007
Somalia,16537016
Serbia,6899126
Sub-Saharan Africa (excluding high income),1151203345
South Sudan,10606227
Sub-Saharan Africa,1151301807
Small states,42392777
Sao Tome and Principe,218641
Suriname,607065
Slovakia,5458827
Slovenia,2102419
Sweden,10353442
Eswatini,1180655
Sint Maarten (Dutch part),42310
Seychelles,98462
Syria,20772595
Turks and Caicos Islands,44276
Chad,16644701
East Asia & Pacific (IDA & IBRD countries),2090523535
Europe & Central Asia (IDA & IBRD countries),462023771
Togo,8442580
Thailand,71475664
Tajikistan,9543207
Turkmenistan,6250438
Latin America & the Caribbean (IDA & IBRD countries),634680385
Timor-Leste,1299995
Middle East & North Africa (IDA & IBRD countries),407006855
Tonga,105254
South Asia (IDA & IBRD),1882531620
Sub-Saharan Africa (IDA & IBRD countries),1151301807
Trinidad and Tobago,1518147
Tunisia,12161723
Turkey,84135428
Tuvalu,11069
Tanzania,61704518
Uganda,44404611
Ukraine,44132049
Upper middle income,-2147483648
Uruguay,3429086
US,331501080
Uzbekistan,34232050
Saint Vincent and the Grenadines,104632
Venezuela,28490453
British Virgin Islands,30910
Virgin Islands (U.S.),106290
Vietnam,96648685
Vanuatu,311685
World,-2147483648
Samoa,214929
Kosovo,1790133
Yemen,32284046
South Africa,58801927
Zambia,18927715
Zimbabwe,15669666
